City1,City2,Month,Passenger_Trips,Aircraft_Trips,Route_Distance,Seats
ADELAIDE,ALICE SPRINGS,Jan-84,15743,143,1316,19246
ADELAIDE,BRISBANE,Jan-84,3781,32,1622,4210
ADELAIDE,CANBERRA,Jan-84,1339,12,972,1414
ADELAIDE,DARWIN,Jan-84,3050,33,2619,4566
ADELAIDE,GOLD COAST,Jan-84,1596,16,1607,1803
ADELAIDE,MELBOURNE,Jan-84,50817,711,643,76647
ADELAIDE,PERTH,Jan-84,18670,144,2120,21939
ADELAIDE,SYDNEY,Jan-84,37401,358,1167,46288
ALBURY,SYDNEY,Jan-84,11478,296,452,14383
ALICE SPRINGS,DARWIN,Jan-84,9035,89,1305,12690
ALICE SPRINGS,SYDNEY,Jan-84,2896,31,2022,3821
BRISBANE,CAIRNS,Jan-84,1397,31,1391,1943
BRISBANE,CANBERRA,Jan-84,593,8,956,816
BRISBANE,DARWIN,Jan-84,2627,22,2852,3255
BRISBANE,MACKAY,Jan-84,192,15,797,398
BRISBANE,MELBOURNE,Jan-84,31791,324,1381,37667
BRISBANE,PERTH,Jan-84,566,4,3615,642
BRISBANE,PROSERPINE,Jan-84,7432,92,895,9766
BRISBANE,ROCKHAMPTON,Jan-84,21633,287,518,28022
BRISBANE,SYDNEY,Jan-84,95027,990,753,128938
BRISBANE,TOWNSVILLE,Jan-84,35580,376,1112,43390
BROOME,PERTH,Jan-84,573,12,1677,790
CANBERRA,MELBOURNE,Jan-84,21763,323,470,35972
CANBERRA,SYDNEY,Jan-84,32529,562,236,57676
COFFS HARBOUR,SYDNEY,Jan-84,6731,166,443,8435
DARWIN,SYDNEY,Jan-84,779,9,3155,1381
DEVONPORT,MELBOURNE,Jan-84,13300,380,412,18345
DUBBO,SYDNEY,Jan-84,4708,136,310,7345
GOLD COAST,SYDNEY,Jan-84,42814,454,680,52276
HOBART,MELBOURNE,Jan-84,35293,440,618,46377
KALGOORLIE,PERTH,Jan-84,3551,110,538,6909
KARRATHA,PERTH,Jan-84,7609,148,1250,10078
LAUNCESTON,MELBOURNE,Jan-84,44088,647,476,59099
MELBOURNE,BURNIE,Jan-84,9564,342,378,14782
MELBOURNE,GOLD COAST,Jan-84,20182,159,1330,23771
MELBOURNE,MILDURA,Jan-84,1898,126,457,4487
MELBOURNE,NEWCASTLE,Jan-84,577,16,836,1551
MELBOURNE,PERTH,Jan-84,33753,295,2706,40814
MELBOURNE,SYDNEY,Jan-84,132682,1368,706,199522
PERTH,SYDNEY,Jan-84,22569,163,3284,26552
SUNSHINE COAST,SYDNEY,Jan-84,4818,144,837,7378
SYDNEY,TOWNSVILLE,Jan-84,4262,50,1690,4821
SYDNEY,WAGGA WAGGA,Jan-84,3843,139,367,6802
ADELAIDE,ALICE SPRINGS,Feb-84,9863,91,1316,12580
ADELAIDE,BRISBANE,Feb-84,2302,31,1622,3586
ADELAIDE,CANBERRA,Feb-84,1018,12,972,1381
ADELAIDE,DARWIN,Feb-84,671,8,2619,1153
ADELAIDE,GOLD COAST,Feb-84,825,12,1607,1237
ADELAIDE,MELBOURNE,Feb-84,50605,598,643,73661
ADELAIDE,PERTH,Feb-84,14556,121,2120,17860
ADELAIDE,SYDNEY,Feb-84,29680,298,1167,38696
ALBURY,SYDNEY,Feb-84,9590,276,452,14062
ALICE SPRINGS,DARWIN,Feb-84,6407,66,1305,9506
ALICE SPRINGS,SYDNEY,Feb-84,2136,26,2022,3146
BRISBANE,CAIRNS,Feb-84,106,19,1391,194
BRISBANE,CANBERRA,Feb-84,79,2,956,204
BRISBANE,MACKAY,Feb-84,0,1,797,0
BRISBANE,MELBOURNE,Feb-84,18053,222,1381,25320
BRISBANE,PERTH,Feb-84,332,4,3615,576
BRISBANE,PROSERPINE,Feb-84,3864,66,895,6472
BRISBANE,ROCKHAMPTON,Feb-84,17876,256,518,24555
BRISBANE,SYDNEY,Feb-84,84001,871,753,119830
BRISBANE,TOWNSVILLE,Feb-84,26167,326,1112,33807
BROOME,PERTH,Feb-84,814,17,1677,1175
CANBERRA,MELBOURNE,Feb-84,27564,334,470,41202
CANBERRA,SYDNEY,Feb-84,39283,583,236,63875
COFFS HARBOUR,SYDNEY,Feb-84,5139,143,443,7437
DEVONPORT,MELBOURNE,Feb-84,5907,233,412,11360
DUBBO,SYDNEY,Feb-84,4622,129,310,7078
GOLD COAST,SYDNEY,Feb-84,28076,351,680,38726
HOBART,MELBOURNE,Feb-84,22441,321,618,30868
KALGOORLIE,PERTH,Feb-84,4559,112,538,7003
