Departing_Port,Arriving_Port,Airline,Month_Start,Flights,Departures_Delayed,Arrivals_Delayed
Adelaide,Brisbane,Qantas,2004-01-01,93,12.0,8.0
Adelaide,Canberra,Qantas,2004-01-01,48,3.0,3.0
Adelaide,Gold Coast,Qantas,2004-01-01,9,1.0,1.0
Adelaide,Melbourne,Qantas,2004-01-01,350,33.0,25.0
Adelaide,Perth,Qantas,2004-01-01,130,9.0,5.0
Adelaide,Sydney,Qantas,2004-01-01,331,18.0,8.0
Alice Springs,Sydney,Qantas,2004-01-01,33,2.0,0.0
Brisbane,Adelaide,Qantas,2004-01-01,93,27.0,11.0
Brisbane,Cairns,Qantas,2004-01-01,207,34.0,17.0
Brisbane,Canberra,Qantas,2004-01-01,75,10.0,8.0
Brisbane,Darwin,Qantas,2004-01-01,46,11.0,5.0
Brisbane,Melbourne,Qantas,2004-01-01,492,82.0,65.0
Brisbane,Perth,Qantas,2004-01-01,62,13.0,12.0
Brisbane,Sydney,Qantas,2004-01-01,677,101.0,82.0
Brisbane,Townsville,Qantas,2004-01-01,91,15.0,16.0
Broome,Perth,Qantas,2004-01-01,29,5.0,1.0
Cairns,Brisbane,Qantas,2004-01-01,203,17.0,23.0
Cairns,Melbourne,Qantas,2004-01-01,43,9.0,5.0
Cairns,Sydney,Qantas,2004-01-01,134,9.0,6.0
Canberra,Adelaide,Qantas,2004-01-01,52,4.0,1.0
Canberra,Brisbane,Qantas,2004-01-01,75,2.0,4.0
Canberra,Melbourne,Qantas,2004-01-01,199,8.0,9.0
Canberra,Sydney,Qantas,2004-01-01,95,7.0,5.0
Darwin,Brisbane,Qantas,2004-01-01,46,3.0,10.0
Darwin,Sydney,Qantas,2004-01-01,32,3.0,3.0
Gold Coast,Adelaide,Qantas,2004-01-01,9,2.0,2.0
Gold Coast,Melbourne,Qantas,2004-01-01,93,25.0,17.0
Gold Coast,Sydney,Qantas,2004-01-01,204,35.0,21.0
Kalgoorlie,Perth,Qantas,2004-01-01,43,3.0,1.0
Melbourne,Adelaide,Qantas,2004-01-01,352,36.0,21.0
Melbourne,Brisbane,Qantas,2004-01-01,493,55.0,58.0
Melbourne,Cairns,Qantas,2004-01-01,43,6.0,3.0
Melbourne,Canberra,Qantas,2004-01-01,175,24.0,17.0
Melbourne,Gold Coast,Qantas,2004-01-01,93,11.0,12.0
Melbourne,Perth,Qantas,2004-01-01,198,35.0,40.0
Melbourne,Sydney,Qantas,2004-01-01,799,76.0,93.0
Perth,Adelaide,Qantas,2004-01-01,125,10.0,3.0
Perth,Brisbane,Qantas,2004-01-01,62,15.0,7.0
Perth,Broome,Qantas,2004-01-01,29,1.0,2.0
